user_id,review_id,upvote
ca378a36-bb9e-47a0-9af3-0a89ae53832f,11,False
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9d0e,90,True
c9bd4c67-7937-4ee3-959d-21a1b3db70eb,14,False
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9d0e,50,True
ca378a36-bb9e-47a0-9af3-0a89ae53832f,81,True
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9d0e,44,True
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,95,True
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,29,False
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,46,True
9eb5408c-08fe-465d-9ac0-baaa8c31c425,46,False
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,10,True
c9bd4c67-7937-4ee3-959d-21a1b3db70eb,41,True
c9bd4c67-7937-4ee3-959d-21a1b3db70eb,6,True
f67adcd4-4fbb-423d-8107-61e373185f48,89,True
566cd376-d620-40fa-8e7f-61111e8c29af,33,False
19c2f059-ad95-4616-97bd-1b483fda15af,94,False
f67adcd4-4fbb-423d-8107-61e373185f48,41,False
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9d,29,True
c9bd4c67-7937-4ee3-959d-21a1b3db70eb,6,False
19c2f059-ad95-4616-97bd-1b483fda15af,75,True
19c2f059-ad95-4616-97bd-1b483fda15af,12,False
8d245124-6baa-48e3-8f20-ce125d5c22b7,46,False
19c2f059-ad95-4616-97bd-1b483fda15af,31,True
9eb5408c-08fe-465d-9ac0-baaa8c31c425,97,False
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,65,True
c9bd4c67-7937-4ee3-959d-21a1b3db70eb,19,True
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,64,True
2850ab49-c636-4c9f-bbf1-91e0f1685eff,49,True
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,80,False
566cd376-d620-40fa-8e7f-61111e8c29af,28,True
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9d0e,51,False
2850ab49-c636-4c9f-bbf1-91e0f1685eff,13,True
9eb5408c-08fe-465d-9ac0-baaa8c31c425,6,True
8d245124-6baa-48e3-8f20-ce125d5c22b7,34,False
99f82544-95b3-453e-9ed0-66897d4a7bb2,46,False
f67adcd4-4fbb-423d-8107-61e373185f48,37,True
8d245124-6baa-48e3-8f20-ce125d5c22b7,31,False
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,2,False
19c2f059-ad95-4616-97bd-1b483fda15af,95,False
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,34,True
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,92,False
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,41,False
2850ab49-c636-4c9f-bbf1-91e0f1685eff,95,False
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,82,False
ca378a36-bb9e-47a0-9af3-0a89ae53832f,40,False
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9d,73,False
fdefb20a-afdb-44e3-a62d-754aab937ff2,46,True
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,63,True
ca378a36-bb9e-47a0-9af3-0a89ae53832f,51,True
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,80,True
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,46,False
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9d0e,65,True
c9bd4c67-7937-4ee3-959d-21a1b3db70eb,11,True
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9d0e,18,False
8d245124-6baa-48e3-8f20-ce125d5c22b7,28,True
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,19,False
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9d,61,True
f67adcd4-4fbb-423d-8107-61e373185f48,27,True
f67adcd4-4fbb-423d-8107-61e373185f48,4,True
ca378a36-bb9e-47a0-9af3-0a89ae53832f,46,True
2850ab49-c636-4c9f-bbf1-91e0f1685eff,97,False
9eb5408c-08fe-465d-9ac0-baaa8c31c425,71,False
8d245124-6baa-48e3-8f20-ce125d5c22b7,37,True
2850ab49-c636-4c9f-bbf1-91e0f1685eff,6,True
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,66,False
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9d0e,47,False
8d245124-6baa-48e3-8f20-ce125d5c22b7,64,False
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9d,47,True
2850ab49-c636-4c9f-bbf1-91e0f1685eff,56,True
fdefb20a-afdb-44e3-a62d-754aab937ff2,21,False
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9d,32,True
6970e598-d058-456d-91bd-e394502b8b7c,45,False
9eb5408c-08fe-465d-9ac0-baaa8c31c425,23,False
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9d,98,False
c9bd4c67-7937-4ee3-959d-21a1b3db70eb,19,True
566cd376-d620-40fa-8e7f-61111e8c29af,68,False
2850ab49-c636-4c9f-bbf1-91e0f1685eff,49,False
19c2f059-ad95-4616-97bd-1b483fda15af,85,True
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,96,False
fdefb20a-afdb-44e3-a62d-754aab937ff2,70,True
f67adcd4-4fbb-423d-8107-61e373185f48,99,False
566cd376-d620-40fa-8e7f-61111e8c29af,97,True
ca378a36-bb9e-47a0-9af3-0a89ae53832f,22,False
f67adcd4-4fbb-423d-8107-61e373185f48,96,False
c9bd4c67-7937-4ee3-959d-21a1b3db70eb,8,True
ca378a36-bb9e-47a0-9af3-0a89ae53832f,70,True
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9d0e,92,True
2850ab49-c636-4c9f-bbf1-91e0f1685eff,65,False
19c2f059-ad95-4616-97bd-1b483fda15af,6,False
8d245124-6baa-48e3-8f20-ce125d5c22b7,9,False
566cd376-d620-40fa-8e7f-61111e8c29af,20,False
8d245124-6baa-48e3-8f20-ce125d5c22b7,76,False
2850ab49-c636-4c9f-bbf1-91e0f1685eff,24,False
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9d,65,False
9eb5408c-08fe-465d-9ac0-baaa8c31c425,26,True
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9d,27,True
8d245124-6baa-48e3-8f20-ce125d5c22b7,58,False
ca378a36-bb9e-47a0-9af3-0a89ae53832f,54,False
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,71,False
5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9d0e,97,False
